Sample_ID,PlotID,Sample_Type,Replicate,TimePoint
C-103-L1-T1,C-103,Leaf,1,T1
C-103-L2-T1,C-103,Leaf,2,T1
C-103-L3-T1,C-103,Leaf,3,T1
C-104-L1-T1,C-104,Leaf,1,T1
C-104-L2-T1,C-104,Leaf,2,T1
C-104-L3-T1,C-104,Leaf,3,T1
C-207-L1-T1,C-207,Leaf,1,T1
C-207-L2-T1,C-207,Leaf,2,T1
C-207-L3-T1,C-207,Leaf,3,T1
C-208-L1-T1,C-208,Leaf,1,T1
C-208-L2-T1,C-208,Leaf,2,T1
C-208-L3-T1,C-208,Leaf,3,T1
C-303-L1-T1,C-303,Leaf,1,T1
C-303-L2-T1,C-303,Leaf,2,T1
C-303-L3-T1,C-303,Leaf,3,T1
C-307-L1-T1,C-307,Leaf,1,T1
C-307-L2-T1,C-307,Leaf,2,T1
C-307-L3-T1,C-307,Leaf,3,T1
G-103-L1-T1,G-103,Leaf,1,T1
G-103-L2-T1,G-103,Leaf,2,T1
G-103-L3-T1,G-103,Leaf,3,T1
G-104-L1-T1,G-104,Leaf,1,T1
G-104-L2-T1,G-104,Leaf,2,T1
G-104-L3-T1,G-104,Leaf,3,T1
G-207-L1-T1,G-207,Leaf,1,T1
G-207-L2-T1,G-207,Leaf,2,T1
G-207-L3-T1,G-207,Leaf,3,T1
G-208-L1-T1,G-208,Leaf,1,T1
G-208-L2-T1,G-208,Leaf,2,T1
G-208-L3-T1,G-208,Leaf,3,T1
G-303-L1-T1,G-303,Leaf,1,T1
G-303-L2-T1,G-303,Leaf,2,T1
G-303-L3-T1,G-303,Leaf,3,T1
G-307-L1-T1,G-307,Leaf,1,T1
G-307-L2-T1,G-307,Leaf,2,T1
G-307-L3-T1,G-307,Leaf,3,T1
