PlotID,Site,FungicideTrt,PlotNum
C-103,Champ-Kleczewski,Delaro Complete 12oz,103
C-104,Champ-Kleczewski,Control,104
C-207,Champ-Kleczewski,Control,207
C-208,Champ-Kleczewski,Delaro Complete 12oz,208
C-303,Champ-Kleczewski,Control,303
C-307,Champ-Kleczewski,Delaro Complete 12oz,307
G-103,Gilman-Kleczewski,Delaro Complete 12oz,103
G-104,Gilman-Kleczewski,Control,104
G-207,Gilman-Kleczewski,Control,207
G-208,Gilman-Kleczewski,Delaro Complete 12oz,208
G-303,Gilman-Kleczewski,Control,303
G-307,Gilman-Kleczewski,Delaro Complete 12oz,307
